s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00071,1175-S01-0071,2010-05-03,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_pampanai
VBS00072,1175-S01-0072,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_argyropus
VBS00073,1175-S01-0073,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,3,Female,Wild caught adult,,WGA,Anopheles_argyropus
VBS00074,1175-S01-0074,2013-07-24,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,1,Female,Wild caught adult,,Genomic DNA,Anopheles_argyropus
VBS00075,1175-S01-0075,2013-07-23,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,24,Female,Wild caught adult,,Genomic DNA,Anopheles_argyropus
VBS00076,1175-S01-0076,2013-07-23,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,4,Female,Wild caught adult,,Genomic DNA,Anopheles_argyropus
VBS00077,1175-S01-0077,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,WGA,Anopheles_crawfordi
VBS00078,1175-S01-0078,2013-08-12,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,19,Female,Wild caught adult,,WGA,Anopheles_crawfordi
VBS00079,1175-S01-0079,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,3,Female,Wild caught adult,,WGA,Anopheles_crawfordi
VBS00080,1175-S01-0080,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,18,Female,Wild caught adult,,WGA,Anopheles_crawfordi
VBS00081,1175-S01-0081,2013-08-12,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,WGA,Anopheles_crawfordi
VBS00082,1175-S01-0082,2010-01-19,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_hyrcanus
VBS00083,1175-S01-0083,2010-01-21,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_hyrcanus
VBS00084,1175-S01-0084,2010-02-24,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_hyrcanus
VBS00085,1175-S01-0085,2009-11-23,Thmar Da,Cambodia,12.155,102.735,outdoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_hyrcanus
VBS00086,1175-S01-0086,2009-12-06,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_hyrcanus
VBS00087,1175-S01-0087,2014-03-14,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,Anopheles_peditaeniatus
VBS00088,1175-S01-0088,2014-03-14,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,4,Female,Wild caught adult,,Genomic DNA,Anopheles_peditaeniatus
VBS00089,1175-S01-0089,2014-03-16,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,19,Female,Wild caught adult,,WGA,Anopheles_peditaeniatus
VBS00090,1175-S01-0090,2014-03-15,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,2,Female,Wild caught adult,,Genomic DNA,Anopheles_peditaeniatus
VBS00091,1175-S01-0091,2014-03-15,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_peditaeniatus
VBS00092,1175-S01-0092,2014-03-15,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_nigerrimus
VBS00093,1175-S01-0093,2014-03-16,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_nigerrimus
VBS00094,1175-S01-0094,2014-03-15,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,24,Female,Wild caught adult,,WGA,Anopheles_nigerrimus
VBS00095,1175-S01-0095,2014-03-16,Veal ,Cambodia,12.275,103.715,outdoor,cow-baited tent,19,Female,Wild caught adult,,WGA,Anopheles_nigerrimus
